,FIPS Code,JUL21 SNAP Households
535,17049,0
536,17051,0
537,17055,5229
538,17057,2766
539,17061,0
540,17065,0
541,17067,0
542,17073,3475
543,17075,0
544,17077,7625
545,17081,5360
546,17083,2772
547,17085,0
548,17089,37690
549,17091,13154
550,17093,0
551,17095,5137
552,17097,34330
553,17099,10704
554,17101,0
555,17105,0
556,17107,4214
557,17109,2268
558,17111,9494
559,17113,13016
560,17115,13047
561,17117,3422
562,17119,21315
563,17121,7518
564,17123,0
565,17125,1141
566,17127,1945
567,17135,2823
568,17137,4028
569,17139,0
570,17141,4733
571,17143,21306
572,17149,0
573,17151,0
574,17153,1940
575,17157,2899
576,17159,3858
577,17161,12898
578,17163,26717
579,17165,4667
580,17167,18765
581,17169,0
582,17173,0
583,17177,5107
584,17179,9276
585,17181,2401
586,17183,9824
587,17185,2629
588,17187,2493
589,17193,0
590,17195,5538
591,17197,34461
592,17199,7095
593,17201,915341
594,18001,886
595,18003,16962
596,18005,2683
597,18007,359
598,18009,692
599,18011,1042
600,18013,371
601,18015,493
602,18017,1797
603,18019,4138
604,18021,1250
605,18023,1259
606,18025,444
607,18027,1132
608,18029,1485
609,18031,888
610,18033,1316
611,18035,7022
612,18037,764
613,18039,6245
614,18041,1966
615,18043,2949
616,18045,620
617,18047,660
618,18049,774
619,18051,1018
620,18053,4777
621,18055,1560
622,18057,3749
623,18059,1665
624,18061,1167
625,18063,2609
626,18065,2538
627,18067,4980
628,18069,1315
629,18071,1659
630,18073,1128
631,18075,858
632,18077,1387
633,18079,941
634,18081,4418
635,18083,1965
636,18085,2029
637,18087,623
638,18089,29805
639,18091,5933
640,18093,1824
641,18095,8366
642,18097,66871
643,18099,1248
644,18101,452
645,18103,1761
646,18105,4257
647,18107,1465
648,18109,2588
649,18111,565
650,18113,1082
651,18115,160
652,18117,932
653,18119,930
654,18121,797
655,18123,771
656,18125,663
657,18127,4731
658,18129,868
659,18131,488
660,18133,1214
661,18135,1136
662,18137,864
663,18139,626
664,18141,12791
665,18143,1497
666,18145,1770
667,18147,637
668,18149,1191
669,18151,917
670,18153,955
671,18155,464
672,18157,6566
673,18159,346
674,18161,259
675,18163,9770
676,18165,779
677,18167,6769
678,18169,1102
679,18171,215
680,18173,1202
681,18175,897
682,18177,4444
683,18179,722
684,18181,774
685,18183,742
686,19001,263
687,19003,152
688,19005,395
689,19007,794
690,19009,216
691,19011,807
692,19013,7848
693,19015,785
694,19017,503
695,19019,645
696,19021,672
697,19023,424
698,19025,332
699,19027,689
700,19029,682
701,19031,425
702,19033,2160
703,19035,330
704,19037,278
705,19039,460
706,19041,633
707,19043,485
708,19045,2979
709,19047,600
710,19049,1258
711,19051,241
712,19053,410
713,19055,489
714,19057,2761
715,19059,457
716,19061,3844
717,19063,356
718,19065,1026
719,19067,746
720,19069,357
721,19071,331
722,19073,426
723,19075,253
724,19077,375
725,19079,464
726,19081,301
727,19083,703
728,19085,565
729,19087,916
730,19089,270
731,19091,322
732,19093,232
733,19095,417
734,19097,808
735,19099,1611
736,19101,955
737,19103,4490
738,19105,708
739,19107,463
740,19109,445
741,19111,2299
742,19113,10556
743,19115,359
744,19117,419
745,19119,186
746,19121,368
747,19123,1065
748,19125,975
749,19127,1813
750,19129,475
751,19131,257
752,19133,395
753,19135,310
754,19137,651
755,19139,2273
756,19141,391
757,19143,176
758,19145,731
759,19147,296
760,19149,506
761,19151,262
762,19153,25740
763,19155,5979
764,19157,577
765,19159,207
766,19161,260
767,19163,10875
768,19165,408
769,19167,466
770,19169,2121
771,19171,582
772,19173,263
773,19175,699
774,19177,305
775,19179,2645
776,19181,1108
777,19183,725
778,19185,264
779,19187,2345
780,19189,333
781,19191,380
782,19193,5855
783,19195,230
784,19197,515
785,20001,706
786,20003,255
787,20005,662
788,20007,91
789,20009,1096
790,20011,837
791,20013,420
792,20015,1976
793,20017,59
794,20019,197
795,20021,1059
796,20023,42
797,20025,44
798,20027,191
799,20029,314
800,20031,265
801,20033,33
802,20035,1975
803,20037,2223
804,20039,81
805,20041,512
806,20043,208
807,20045,2696
808,20047,82
809,20049,117
810,20051,623
811,20053,121
812,20055,1119
813,20057,928
814,20059,933
815,20061,1237
816,20063,21
817,20065,82
818,20067,165
819,20069,49
820,20071,19
821,20073,306
822,20075,41
823,20077,224
824,20079,1113
825,20081,50
826,20083,25
827,20085,324
828,20087,334
829,20089,73
830,20091,6155
831,20093,75
832,20095,166
833,20097,65
834,20099,1199
835,20101,37
836,20103,1606
837,20105,78
838,20107,404
839,20109,73
840,20111,1138
841,20113,617
842,20115,274
843,20117,244
844,20119,73
845,20121,778
846,20123,137
847,20125,1985
848,20127,137
849,20129,64
850,20131,147
