,FIPS,JAN22 SNAP Households,State Name,County Name,Sep22 ACP Total Subscribers
145,05125,2663.0,ARKANSAS,SALINE COUNTY,2763.0
146,05127,810.0,ARKANSAS,SCOTT COUNTY,442.0
147,05129,486.0,ARKANSAS,SEARCY COUNTY,238.0
148,05131,7653.0,ARKANSAS,SEBASTIAN COUNTY,9229.0
149,05133,958.0,ARKANSAS,SEVIER COUNTY,676.0
150,05135,1219.0,ARKANSAS,SHARP COUNTY,613.0
151,05137,839.0,ARKANSAS,STONE COUNTY,293.0
152,05139,2568.0,ARKANSAS,UNION COUNTY,2022.0
153,05141,893.0,ARKANSAS,VAN BUREN COUNTY,478.0
154,05143,5776.0,ARKANSAS,WASHINGTON COUNTY,7625.0
155,05145,3898.0,ARKANSAS,WHITE COUNTY,2977.0
156,05147,620.0,ARKANSAS,WOODRUFF COUNTY,542.0
157,05149,962.0,ARKANSAS,YELL COUNTY,437.0
158,05159,0.0,,,
159,06001,90928.0,CALIFORNIA,ALAMEDA COUNTY,41001.0
160,06003,63.0,CALIFORNIA,ALPINE COUNTY,2.0
161,06005,1771.0,CALIFORNIA,AMADOR COUNTY,767.0
162,06007,19748.0,CALIFORNIA,BUTTE COUNTY,9086.0
163,06009,2982.0,CALIFORNIA,CALAVERAS COUNTY,939.0
164,06011,1095.0,CALIFORNIA,COLUSA COUNTY,515.0
165,06013,49262.0,CALIFORNIA,CONTRA COSTA COUNTY,23242.0
166,06015,3385.0,CALIFORNIA,DEL NORTE COUNTY,1915.0
167,06017,7422.0,CALIFORNIA,EL DORADO COUNTY,3437.0
168,06019,104302.0,CALIFORNIA,FRESNO COUNTY,61929.0
169,06021,1829.0,CALIFORNIA,GLENN COUNTY,974.0
170,06023,14790.0,CALIFORNIA,HUMBOLDT COUNTY,4319.0
171,06025,18713.0,CALIFORNIA,IMPERIAL COUNTY,17619.0
172,06027,1194.0,CALIFORNIA,INYO COUNTY,285.0
